word	x	y	nearest
voice	-39.5171966871	90.0873969679	0.984
mistake	-70.4178108624	58.4347506773	0.949
congratulation	71.3945263103	-40.5844639338	0.227
soliloquy	69.9318143032	-53.5078545857	0.285
throat	56.1926649854	1.90090654003	0.275
splendour	19.221280723	14.4209392605	0.356
punctuality	-41.5968264419	-41.3479588156	0.617
descent	-65.6253608817	-33.8673746981	0.761
parish	-53.9787625697	-66.4437980086	0.617
make	32.6510214422	21.2213027587	0.360
wound	-64.2055694539	-50.0631653119	0.678
agreeableness	-63.8342993477	-13.5764086253	0.758
harmony	-6.41426421406	-75.2951199372	0.576
unconcern	-27.7003664055	-54.2491141486	0.601
exertion	-73.5960059123	68.0326951242	0.956
fuss	61.490550885	48.6814800006	0.449
ill-usage	54.6229055001	-46.1690186591	0.231
evil	-68.7276505157	74.7574597963	0.962
hand	-61.6925661521	89.736068217	0.975
delight	43.7507977805	77.7336274459	0.523
action	52.2036628858	58.7163022973	0.493
scale	36.266997895	35.6437565835	0.348
supper	-3.67161838602	-67.7284651965	0.386
opportunity	-71.8247151873	77.4086416282	0.967
tune	18.8526326868	-34.6107191093	0.241
mischance	-61.5088098049	-60.0358136259	0.626
narrow	57.654463873	61.8208995903	0.515
incredulity	45.1022237877	-46.4325465793	0.371
intrusion	44.5803930162	-16.1418452496	0.247
suffering	-57.0712174865	-8.64128501229	0.809
approbation	57.249979665	-3.91282209263	0.232
maidservant	84.7209471179	11.0659178482	0.261
mamma	-46.1186234722	24.5119990171	0.890
mother	-11.0425197628	90.4421576352	0.989
milliner	33.711854245	-41.4569824997	0.244
etiquette	64.4250234783	-23.3290889515	0.217
consciousness	28.5043958591	91.4647345659	0.795
sentence	-76.4681864549	-10.7648078334	0.756
warmest	16.1169255078	-19.467124363	0.265
repose	-16.2443891081	-56.9886107521	0.565
farther	-19.036750162	-8.79816701194	0.333
yes	-52.915227565	24.2418633504	0.883
emergence	36.4354905765	32.3800333685	0.274
ham	5.97638683074	9.23963048641	0.252
mix	-3.311285755	2.2684657151	0.302
ease	-58.1748605209	85.9052642079	0.971
character	-53.9374650414	83.442422551	0.977
advancement	63.2910658305	-31.2827232332	0.259
ma'am	-72.8106630185	77.9112457232	0.966
spread	16.749941781	-32.2460895745	0.293
affinity	45.5952602824	-13.636312863	0.230
board	-74.1980609629	-14.85795151	0.738
artlessness	60.098876323	3.26885972244	0.269
vanity	-60.3632803239	51.1884320078	0.921
hat	41.2688847223	48.7215070647	0.431
humanity	-70.7073840598	-29.6495482651	0.707
desire	-69.3522154873	10.2338154091	0.856
solitude	-59.3881824932	10.7961200263	0.838
elevation	51.088409235	-49.9296716649	0.301
disagreement	59.8539932435	-44.9692270259	0.222
chuse	29.9979077283	-4.14887746358	0.257
birth	22.3682005895	-65.3623451094	0.289
affability	56.4630391267	71.5598334458	0.588
judge	-73.1055854115	72.2624204568	0.965
scruple	50.2425112606	-18.178646706	0.221
disadvantage	18.8330945804	-34.2432260315	0.248
shoulder	31.8138734936	84.0080665726	0.759
dignity	-60.127234341	-37.1334449181	0.694
gift	-71.3508313955	-30.51110158	0.735
disinclination	26.5590144055	-67.7693774413	0.312
quadrille	-2.53975702385	16.6110767232	0.319
pavement	45.223829916	5.5720344884	0.262
officer	56.4022054445	48.2020649775	0.442
night	-76.2564558144	54.1223238034	0.946
security	-46.4753504477	-45.6524710405	0.633
effusion	-2.20387809471	-78.475333098	0.447
attorney	-53.456851337	-40.1490377728	0.600
right	-54.3075637808	11.6810618602	0.843
crowd	-56.832675607	-47.1638680618	0.622
refinement	45.2172985925	-33.1103965757	0.315
crown	-34.2608664555	-65.4945853216	0.522
arrear	22.1348350792	-48.3036830441	0.383
hall-door	27.0000447301	-14.3795794813	0.249
displeasure	-71.7862436693	-19.9797970771	0.747
escape	-64.3195287623	-45.8477164949	0.631
dear	84.9951009089	11.9379624154	0.249
tremor	34.2319007782	-23.1059392127	0.262
guess	50.6982429725	81.1080149417	0.612
sea-bathing	27.6195064074	-22.5652222234	0.256
rapidity	-75.237022639	-27.072618253	0.727
proceeding	20.4153372072	-43.1045625626	0.364
bottom	37.9477207644	82.7606863991	0.693
aggravation	-69.8023301065	-28.1480371734	0.758
everything	-14.2012500909	89.5473204395	0.992
shakespeare	35.3367290713	-49.4844657644	0.313
participation	27.2720480584	-64.2770733183	0.417
payment	57.4647265256	63.1153211718	0.516
illustration	45.1492442121	38.5946779758	0.271
mediocrity	45.4948661394	-50.5291967058	0.269
post	-45.5557570297	4.91814497747	0.838
uniformity	75.6228896781	-33.4734127257	0.254
leave-taking	58.5947210172	65.2971774489	0.480
dinner	-38.5484282624	90.7758752548	0.982
despair	54.6114845984	8.01128624347	0.238
cake	-44.2508628513	-63.1589657323	0.647
guile	39.7203866559	-21.3279738517	0.250
duke	6.04197370622	9.59911274436	0.248
impartiality	-39.574971688	-51.7810369359	0.634
presence	30.3635008761	-11.4131706884	0.209
puzzle	44.7043861794	14.243047544	0.277
profession	-75.0548933992	64.8728621457	0.956
son	-25.6929745492	89.1654332811	0.988
furnishing	27.4519493497	-49.9128012316	0.282
lieu	69.9546400722	46.6431299953	0.534
deception	-74.7423947159	-55.94285848	0.683
deal	-24.5017103983	88.4367701333	0.989
support	32.1119084183	41.8685555981	0.358
jealousy	60.7324604143	11.2292317437	0.239
personage	55.2439138183	29.667601973	0.367
class	-22.182369765	-14.8215638847	0.427
avail	73.7082879699	24.1482656575	0.277
derision	86.2287249575	-26.3151371974	0.259
vehemence	28.8154876543	-4.03558305974	0.217
way	-16.3095155386	89.6650336766	0.991
greatness	-2.14936431707	-29.445058921	0.317
call	-62.405980896	-58.5666209567	0.601
inquietude	30.7798334572	35.8965947536	0.330
head	-45.7345671733	30.526354155	0.883
offering	-14.2576910895	-47.2097386743	0.552
offer	-71.2982332268	4.82355554578	0.771
fascination	54.3171227652	26.2687166866	0.387
lawn	-42.5745197315	-47.3600284773	0.546
failure	71.9529425481	8.13823148803	0.360
uncle	-35.6170226682	-66.4366646531	0.508
self-command	-20.9253730528	-75.6012556009	0.516
minuteness	22.5781766827	-3.26024069742	0.237
continuance	-16.5650262463	-52.9525387798	0.508
absent	61.9665499893	59.4258811625	0.537
se'nnight	-58.1486554324	-44.8055992416	0.671
pretension	43.6565817646	-13.2581926469	0.225
temper	-48.0385960411	32.7795529568	0.897
disgrace	-42.0736643694	12.1714168706	0.857
impropriety	55.1971168101	-10.4673656607	0.255
evidence	70.0869111803	-20.0836465177	0.280
postscript	-48.0120456182	-60.6069908538	0.611
accounting	39.0140305386	-7.6169470562	0.237
solicitation	63.102284312	-41.8271914752	0.264
penitent	-4.00090374997	-26.0853882209	0.376
meanness	46.1818131724	-14.1852880657	0.218
tis	63.6029179887	72.1194608436	0.530
venison	24.8813267572	9.60850630574	0.238
littleness	17.7849866168	-9.95263989158	0.266
test	49.9897640889	4.72211114655	0.253
roll	34.6339448164	-37.4090212311	0.285
evergreen	45.3511961313	38.8717016784	0.368
picture	-74.5560520003	13.604871472	0.846
self-complacency	-1.83486216282	16.7053256195	0.257
intend	44.2441806835	-7.0390627509	0.273
felt	-15.4032434431	-2.73129062139	0.388
